sql
Продукция по категориям хозяйств (млрд руб.)

Цель: сравнить, сколько производят разные категории хозяйств.

Данные:
Сельскохозяйственные организации
Хозяйства населения
Крестьянские (фермерские) хозяйства

"Продукция сельского хозяйства по категориям хозяйств по Российской Федерации
(в фактически действовавших ценах; миллиардов рублей; до 1998 г. - трлн. руб.)"																																				
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	20221) 	20231) 	20241)	20251)2)
Хозяйства всех категорий																																				
Продукция сельского хозяйства	0,158	0,260	2,7	22,4	73,7	203,9	283,4	303,2	298,4	586,0	742,4	918,2	968,2	1076,4	1253,2	1380,9	1570,6	1861,0	2354,5	2390,1	2462,2	3098,7	3160,3	3458,3	4031,1	4794,6	5112,3	5109,5	5348,8	5801,4	6468,8	7672,9	8559,3	8493,6	9361,1	10627,5
      в том числе:																																				
   растениеводства	0,058	0,105	1,3	10,3	37,9	108,3	153,7	165,6	143,1	307,1	394,7	466,1	480,7	557,2	650,6	669,8	764,8	962,2	1236,8	1159,6	1090,2	1566,7	1491,6	1730,2	1986,7	2487,3	2710,3	2599,7	2756,1	3056,4	3612,7	4427,3	4945,6	4709,4	4956,6	5864,6
   животноводства	0,100	0,155	1,4	12,1	35,8	95,6	129,7	137,6	155,3	278,9	347,7	452,1	487,5	519,2	602,6	711,1	805,8	898,8	1117,7	1230,5	1372,0	1532,0	1668,7	1728,1	2044,4	2307,3	2402,0	2509,8	2592,7	2745,0	2856,1	3245,6	3613,7	3784,2	4404,5	4762,9
Сельскохозяйственные организации																																				
Продукция сельского хозяйства	0,116	0,179	1,8	12,8	40,2	102,3	140,0	143,5	120,6	249,8	335,6	421,8	409,3	458,3	573,5	615,6	704,5	876,4	1130,8	1093,1	1102,9	1493,7	1551,1	1700,2	2083,0	2588,6	2818,4	2818,5	3022,1	3348,4	3787,0	4566,8	5145,2	5085,6	5659,1	6482,0
      в том числе:																																				
   растениеводства	0,044	0,068	0,9	5,6	17,8	48,8	73,0	80,8	57,0	128,1	189,0	224,4	197,5	235,7	307,2	294,4	343,9	468,9	609,5	520,5	458,3	744,8	707,9	805,1	940,7	1263,9	1428,4	1336,3	1438,8	1641,0	2021,8	2497,8	2829,4	2673,1	2776,0	3289,3
   животноводства	0,072	0,111	0,9	7,2	22,4	53,5	67,0	62,7	63,6	121,7	146,6	197,4	211,8	222,6	266,3	321,2	360,6	407,5	521,3	572,6	644,6	748,9	843,2	895,1	1142,3	1324,7	1390,0	1482,2	1583,3	1707,4	1765,2	2069,0	2315,8	2412,5	2883,1	3192,7
Хозяйства населения																																				
Продукция сельского хозяйства	0,042	0,081	0,9	8,9	32,3	97,6	137,8	152,3	171,1	320,8	383,2	460,7	520,6	565,7	600,7	681,0	754,8	837,0	1025,9	1117,8	1182,5	1325,2	1328,0	1417,4	1538,4	1654,9	1659,2	1655,4	1656,7	1659,7	1717,6	1922,0	2063,7	2150,8	2374,2	2627,0
      в том числе:																																				
   растениеводства	0,014	0,037	0,4	4,2	19,3	56,8	77,1	79,7	82,3	168,6	188,5	214,6	255,3	281,6	280,0	311,4	336,2	376,5	468,6	503,0	506,8	604,6	575,1	662,6	730,8	781,4	768,9	764,2	787,1	778,8	798,2	934,8	978,9	1002,4	1099,2	1309,5
   животноводства	0,028	0,044	0,5	4,7	13,0	40,8	60,7	72,6	88,8	152,2	194,7	246,1	265,3	284,1	320,7	369,6	418,6	460,5	557,3	614,8	675,7	720,6	752,9	754,8	807,6	873,5	890,3	891,2	869,6	880,9	919,4	987,2	1084,8	1148,4	1275,0	1317,5
Крестьянские (фермерские) хозяйства3)																																				
Продукция сельского хозяйства	…	…	0,03	0,7	1,2	4,0	5,6	7,4	6,7	15,4	23,6	35,7	38,3	52,4	79,0	84,3	111,3	147,6	197,8	179,2	176,8	279,8	281,2	340,7	409,7	551,1	634,7	635,6	670,0	793,3	964,2	1184,1	1350,4	1257,2	1327,8	1518,5
      в том числе:																																				
   растениеводства	…	…	0,02	0,5	0,8	2,7	3,6	5,1	3,8	10,4	17,2	27,1	27,9	39,9	63,4	64,0	84,7	116,8	158,7	136,1	125,1	217,3	208,6	262,5	315,2	442,0	513,0	499,2	530,2	636,6	792,7	994,7	1137,3	1033,9	1081,4	1265,8
   животноводства	…	…	0,01	0,2	0,4	1,3	2,0	2,3	2,9	5,0	6,4	8,6	10,4	12,5	15,6	20,3	26,6	30,8	39,1	43,1	51,7	62,5	72,6	78,2	94,5	109,1	121,7	136,4	139,8	156,7	171,5	189,4	213,1	223,3	246,4	252,7
																																				
